,Epochs,Current_State,Pit_Position,Goal_Position,Wall_Position,Action,Reward,Next_State,Epsilon_Boolean,Q_Max,Q1_Current,Q2_Current,Q3_Current,Q4_Current,Q1_Next,Q2_Next,Q3_Next,Q4_Next,Q_Next_Max,Y
24338,2786,5,13,7,10,3,-1,6,0,7.965230941772461,4.92478084564209,2.687119722366333,5.812099933624268,7.965230941772461,7.437188625335693,4.518270969390869,6.956116676330566,10.249150276184082,10.249150276184082,8.224235248565675
24339,2786,6,13,7,10,3,10,7,0,10.107666015625,7.431922912597656,4.543287754058838,6.918632984161377,10.107666015625,9.78409481048584,8.130751609802246,7.956738471984863,9.456392288208008,9.78409481048584,10.0
24342,2787,14,4,2,0,2,-1,13,0,4.960174560546875,4.212334632873535,4.364271640777588,4.960174560546875,3.777245759963989,4.479043006896973,2.8166840076446533,2.435433149337769,4.847949028015137,4.847949028015137,3.3631541252136232
24343,2787,13,4,2,0,3,-1,14,0,4.852644920349121,4.477597236633301,2.830256700515747,2.444387674331665,4.852644920349121,4.273780345916748,4.452390193939209,5.018736839294434,3.8873291015625,5.018736839294434,3.51686315536499
24347,2788,1,10,6,8,1,-1,5,0,8.38757610321045,7.196044921875,8.38757610321045,4.936922550201416,5.879705429077148,7.901651382446289,6.074942111968994,5.226734638214111,9.70483684539795,9.70483684539795,7.734353160858154
24351,2789,6,3,11,4,3,-1,7,0,8.177315711975098,4.7603044509887695,7.639846801757812,4.721993923187256,8.177315711975098,5.903562068939209,9.699162483215332,7.483474731445312,8.528610229492188,9.699162483215332,7.7292462348937985
24355,2790,4,14,3,5,3,-1,4,0,2.7372400760650635,2.674708843231201,1.374620795249939,1.3848659992218018,2.7372400760650635,2.698700189590454,1.3450303077697754,1.3876092433929443,2.712740421295166,2.712740421295166,1.4414663791656497
24371,2790,9,14,3,5,0,-1,9,0,3.374908685684204,3.374908685684204,0.0233264565467834,0.8264244198799133,3.36883282661438,3.428046226501465,-0.0254993140697479,0.8477867841720581,3.4486753940582275,3.4486753940582275,2.103807854652405
24373,2790,10,14,3,5,3,-1,11,0,4.779113292694092,4.545906066894531,-2.7170934677124023,2.934110164642334,4.779113292694092,8.155263900756836,3.719233989715576,4.127196311950684,5.023970603942871,8.155263900756836,6.339737510681153
24375,2790,11,14,3,5,0,-1,7,0,8.051563262939453,8.051563262939453,3.7668538093566895,4.126881122589111,4.988739490509033,9.34934902191162,6.035576343536377,4.795533180236816,6.3232035636901855,9.34934902191162,7.41441411972046
