,Current_State,Pit_Position,Goal_Position,Wall_Position,Q_Max,level_5,Action
912,0,3,2,15,6.122206211090088,0,3
913,0,3,6,11,6.449069499969482,0,3
915,0,3,6,14,4.4453959465026855,0,3
916,0,3,8,4,1.2502317428588867,0,3
917,0,3,11,4,4.39570426940918,0,3
918,0,3,11,14,2.8570148944854736,0,3
920,0,3,15,12,3.0699174404144287,0,3
921,0,4,1,9,10.45921516418457,0,3
923,0,4,3,11,-4.379128932952881,0,3
924,0,4,3,12,8.527874946594238,0,3
925,0,4,3,14,5.403186798095703,0,3
929,0,4,7,2,3.1688120365142822,0,3
930,0,4,9,6,1.0072671175003052,0,3
931,0,4,10,8,5.272577285766602,0,3
932,0,4,10,14,-2.143397569656372,0,3
933,0,4,11,6,-0.8303090333938599,0,3
934,0,4,11,12,4.257608890533447,0,3
937,0,4,12,10,0.8766739964485168,0,3
940,0,4,13,2,-7.481594085693359,0,3
942,0,5,1,2,7.930952548980713,0,3
943,0,5,1,13,6.102633953094482,0,3
944,0,5,2,6,7.005409240722656,0,3
945,0,5,2,15,4.827637195587158,0,3
946,0,5,3,4,-5.5454535484313965,0,3
948,0,5,3,6,4.905031204223633,0,3
949,0,5,3,8,5.961013317108154,0,3
951,0,5,3,14,5.032069206237793,0,3
952,0,5,6,10,5.459358215332031,0,3
953,0,5,6,13,5.032451152801514,0,3
954,0,5,7,4,4.824968338012695,0,3
958,0,5,9,4,3.8364458084106445,0,3
959,0,5,10,8,3.142036199569702,0,3
960,0,5,11,2,7.525094032287598,0,3
961,0,5,11,6,1.281227469444275,0,3
962,0,5,13,14,0.9839118123054504,0,3
963,0,5,15,11,2.722728729248047,0,3
964,0,5,15,14,0.4236924350261688,0,3
965,0,6,1,7,10.090603828430176,0,3
966,0,6,1,14,7.196063995361328,0,3
967,0,6,3,9,5.238185882568359,0,3
968,0,6,5,4,5.54116678237915,0,3
969,0,6,7,3,0.949694812297821,0,3
970,0,6,7,12,3.4977707862854004,0,3
971,0,6,9,11,7.200745582580566,0,3
972,0,6,10,4,4.232063293457031,0,3
973,0,6,10,11,5.716584205627441,0,3
974,0,6,13,4,4.345704555511475,0,3
975,0,6,15,12,2.5188581943511963,0,3
976,0,7,1,3,9.783744812011719,0,3
977,0,7,1,9,8.61733627319336,0,3
978,0,7,1,12,6.582411289215088,0,3
979,0,7,1,13,10.250139236450195,0,3
981,0,7,2,6,9.259957313537598,0,3
982,0,7,2,12,7.318674087524414,0,3
984,0,7,2,13,5.14581823348999,0,3
985,0,7,3,12,7.20934534072876,0,3
986,0,7,3,13,6.0467705726623535,0,3
988,0,7,3,14,6.5955352783203125,0,3
989,0,7,6,2,6.424895286560059,0,3
990,0,7,6,10,7.179431915283203,0,3
991,0,7,11,13,3.1960930824279785,0,3
992,0,8,1,3,9.368646621704102,0,3
997,0,8,2,5,3.144071340560913,0,3
998,0,8,2,12,8.469805717468262,0,3
999,0,8,3,6,5.134230613708496,0,3
1000,0,8,4,15,-4.6472368240356445,0,3
1001,0,8,6,7,5.820221424102783,0,3
1002,0,8,7,11,5.045372009277344,0,3
1003,0,8,9,13,4.224985599517822,0,3
1004,0,8,10,6,5.400460243225098,0,3
1005,0,8,10,11,4.579819202423096,0,3
1006,0,8,12,4,-0.13538393378257751,0,3
1008,0,8,13,5,3.7970619201660156,0,3
1010,0,8,15,7,2.103278160095215,0,3
1013,0,8,15,14,5.64060115814209,0,3
1014,0,9,1,2,8.389498710632324,0,3
1015,0,9,1,5,6.1140241622924805,0,3
1016,0,9,3,5,4.603565216064453,0,3
1017,0,9,3,7,2.6470754146575928,0,3
1018,0,9,3,15,8.778398513793945,0,3
1020,0,9,5,4,10.766134262084961,0,3
1023,0,9,6,7,5.979646682739258,0,3
1024,0,9,7,8,5.468636989593506,0,3
1027,0,9,7,14,0.5302858352661133,0,3
1028,0,9,11,5,1.9490058422088623,0,3
1034,0,9,12,8,1.2074992656707764,0,3
1035,0,9,13,5,3.6827101707458496,0,3
1036,0,9,14,7,-1.6558163166046143,0,3
1037,0,9,14,15,3.0579769611358643,0,3
1038,0,9,15,4,4.912105083465576,0,3
1039,0,10,1,2,9.914773941040039,0,3
1040,0,10,1,8,9.73127269744873,0,3
1041,0,10,1,9,11.255095481872559,0,3
1042,0,10,1,14,7.143453598022461,0,3
1043,0,10,1,15,8.558060646057129,0,3
1044,0,10,3,5,3.874631404876709,0,3
1046,0,10,3,7,2.5660576820373535,0,3
1047,0,10,6,12,9.44894027709961,0,3
1048,0,10,7,14,6.6360602378845215,0,3
1049,0,10,11,9,3.0927085876464844,0,3
1051,0,10,13,6,-0.9654759764671326,0,3
1052,0,10,14,9,0.9473145008087158,0,3
1054,0,10,15,5,1.5803828239440918,0,3
1055,0,10,15,6,2.086599588394165,0,3
1056,0,10,15,12,0.9992044568061829,0,3
1057,0,11,1,10,9.315293312072754,0,3
1058,0,11,2,10,3.4056434631347656,0,3
1059,0,11,2,12,8.10146427154541,0,3
1061,0,11,3,2,8.003982543945312,0,3
1062,0,11,3,6,6.331162452697754,0,3
1063,0,11,3,9,5.48779821395874,0,3
1064,0,11,5,13,10.737457275390625,0,3
1065,0,11,7,8,4.143564224243164,0,3
1066,0,11,10,2,6.129657745361328,0,3
1068,0,11,14,12,3.698884963989258,0,3
1069,0,12,1,2,9.00855827331543,0,3
1071,0,12,1,15,11.308220863342285,0,3
1072,0,12,2,15,6.3467817306518555,0,3
1073,0,12,3,4,4.921406269073486,0,3
1074,0,12,3,10,7.435471057891846,0,3
1075,0,12,5,6,8.277402877807617,0,3
