,Q1_arr,Q2_arr,Action,Reward,Done,Q_max,X,Y,Gamma
138,6.07/8.12/5.65/6.6,6.59/7.86/10.05/7.71,1.0,-1.0,0.0,10.052217483520508,8.117753028869629,8.046995162963867,0.9
139,6.96/5.04/2.72/2.97,9.0/5.16/5.38/-4.14,0.0,-1.0,0.0,9.003886222839355,6.963113307952881,7.103497505187988,0.9
140,1.01/0.36/2.78/3.02,2.11/1.55/1.23/0.96,0.0,-1.0,0.0,2.107398509979248,1.0097522735595703,0.8966586589813232,0.9
141,1.85/1.78/1.84/3.12,4.57/3.06/1.85/2.13,3.0,-1.0,0.0,4.574410438537598,3.1235666275024414,3.116969108581543,0.9
142,5.61/4.75/4.69/7.7,9.95/6.09/6.72/7.61,3.0,-1.0,0.0,9.954933166503906,7.7024688720703125,7.959439277648926,0.9
143,7.46/4.26/4.0/3.46,9.53/5.89/6.05/7.33,0.0,-1.0,0.0,9.529361724853516,7.455343723297119,7.576425552368164,0.9
144,8.21/6.24/8.07/10.11,8.2/4.77/5.84/7.54,1.0,-1.0,0.0,8.197550773620605,6.244266986846924,6.377795696258545,0.9
145,2.16/1.74/1.32/1.06,2.13/1.71/1.34/1.09,3.0,-1.0,0.0,2.1308209896087646,1.0643364191055298,0.9177387952804565,0.9
146,0.5/-0.21/1.27/-0.45,0.19/-0.05/-1.8/0.48,1.0,-1.0,0.0,0.4781850278377533,-0.21158915758132935,-0.5696334838867188,0.9
147,0.96/2.01/1.61/3.36,0.9/1.98/0.75/2.14,0.0,-1.0,0.0,2.136916160583496,0.9637904167175293,0.9232244491577148,0.9
148,0.22/1.34/1.91/4.71,0.97/2.01/1.65/3.4,2.0,-1.0,0.0,3.3955395221710205,1.9071706533432007,2.055985450744629,0.9
149,3.17/1.32/1.09/-0.53,4.61/2.58/2.04/3.3,0.0,-1.0,0.0,4.605940341949463,3.1684067249298096,3.145346164703369,0.9
150,4.56/3.05/1.83/2.17,6.14/2.91/4.46/2.9,0.0,-1.0,0.0,6.135059833526611,4.561127185821533,4.5215535163879395,0.9
151,6.19/2.94/4.48/2.92,6.18/2.96/4.46/2.91,2.0,-1.0,0.0,6.176039695739746,4.484650135040283,4.558435440063477,0.9
152,9.36/5.86/10.31/8.26,8.56/6.73/7.82/8.28,2.0,10.0,1.0,8.561625480651855,10.314833641052246,10.0,0.9
153,10.13/7.0/6.47/9.36,7.16/7.76/7.71/8.88,0.0,10.0,1.0,8.878678321838379,10.134516716003418,10.0,0.9
154,1.02/1.95/1.61/3.39,0.93/1.95/0.79/2.23,0.0,-1.0,0.0,2.2298974990844727,1.0187989473342896,1.0069077014923096,0.9
155,8.9/7.37/6.04/10.21,7.27/7.74/6.55/7.53,3.0,10.0,1.0,7.7400689125061035,10.20743179321289,10.0,0.9
156,6.99/4.47/8.07/5.85,10.06/6.41/6.61/5.67,2.0,-1.0,0.0,10.057613372802734,8.069690704345703,8.051852226257324,0.9
157,8.13/4.69/5.79/7.5,8.19/6.23/8.09/10.17,0.0,-1.0,0.0,10.174510955810547,8.125929832458496,8.157059669494629,0.9
158,0.89/-1.43/0.72/-0.53,0.92/-1.39/0.88/-0.48,3.0,-1.0,0.0,0.9217119812965393,-0.5325103402137756,-0.17045921087265015,0.9
159,2.09/3.24/2.04/1.06,2.01/3.19/1.93/0.98,2.0,-1.0,0.0,3.188864231109619,2.038543462753296,1.8699777126312256,0.9
160,4.58/5.32/6.41/3.37,6.44/8.15/6.71/5.02,2.0,-1.0,0.0,8.154048919677734,6.409872055053711,6.338644027709961,0.9
161,3.02/1.53/0.56/2.62,0.97/0.67/0.82/1.67,2.0,-1.0,0.0,1.6708317995071411,0.5593209862709045,0.5037485361099243,0.9
162,2.69/2.36/3.38/1.37,2.81/2.45/3.45/1.41,1.0,-1.0,0.0,3.452430486679077,2.3639888763427734,2.107187271118164,0.9
163,1.59/5.82/5.29/3.6,1.69/5.06/7.95/4.75,1.0,-1.0,0.0,7.954834461212158,5.824296951293945,6.159350872039795,0.9
164,0.83/-1.45/-0.32/-1.31,0.87/-1.42/-0.24/-1.39,2.0,-1.0,0.0,0.8678537607192993,-0.32368889451026917,-0.21893161535263062,0.9
165,1.86/1.79/1.83/3.1,1.84/1.75/1.86/3.11,0.0,-1.0,0.0,3.1056911945343018,1.8576717376708984,1.7951219081878662,0.9
166,9.11/6.62/8.32/10.15,8.75/8.29/8.67/9.04,3.0,10.0,1.0,9.044373512268066,10.153828620910645,10.0,0.9
167,5.26/2.66/5.15/6.82,5.25/2.79/5.13/6.81,0.0,-1.0,0.0,6.808395862579346,5.258206844329834,5.127556324005127,0.9
168,6.2/2.9/4.45/2.89,6.12/2.91/4.47/2.91,2.0,-1.0,0.0,6.124314308166504,4.453187942504883,4.511882781982422,0.9
169,6.15/3.59/3.62/4.71,8.04/4.45/5.05/2.74,0.0,-1.0,0.0,8.041336059570312,6.1495256423950195,6.237202167510986,0.9
170,6.55/4.9/8.31/4.2,10.23/7.59/8.64/4.15,2.0,-1.0,0.0,10.234439849853516,8.30996036529541,8.2109956741333,0.9
171,5.49/4.12/4.23/2.81,6.23/4.55/5.65/4.06,2.0,-1.0,0.0,6.2318620681762695,4.231483459472656,4.608675479888916,0.9
172,8.44/6.03/9.98/7.47,8.3/7.36/9.3/9.21,2.0,10.0,1.0,9.304014205932617,9.980417251586914,10.0,0.9
173,4.85/6.03/6.13/10.12,7.39/8.59/7.51/9.16,3.0,10.0,1.0,9.158842086791992,10.118432998657227,10.0,0.9
174,-0.17/-2.25/-0.36/-1.44,0.94/-1.47/0.8/-0.59,0.0,-1.0,0.0,0.9372624754905701,-0.16695113480091095,-0.15646380186080933,0.9
175,1.1/1.79/3.1/1.83,1.14/1.81/3.11/1.81,3.0,-1.0,0.0,3.114022970199585,1.8280709981918335,1.8026206493377686,0.9
176,5.58/3.26/10.02/7.88,5.51/3.19/10.05/7.88,3.0,-1.0,0.0,10.0492525100708,7.877120018005371,8.044326782226562,0.9
