,Epochs,Current_State,Next_State,Reward,Epsilon_Boolean,Epsilon,Action,Current_Q_Value,Next_Q_Value,Reawrd_Plus_Next_Q_Value,Loss,Pit_Position,Goal_Position,Wall_Position,CurWeight[0],CurWeight[1],CurWeight[2],CurWeight[3],NextWeight[0],NextWeight[1],NextWeight[2],NextWeight[3],Step
38,135,9,8,-1,0,0.1066666666666642,2,6.131200313568115,7.515990257263184,5.76439094543457,0.1345491111278534,1,0,5,-0.038417,-0.038417,-0.038417,-0.038417,-0.038482,-0.108537,0.095951,-0.03251,3420
39,135,8,4,-1,0,0.1066666666666642,0,7.4797749519348145,9.589192390441895,7.63027286529541,0.022649621590971947,1,0,5,-0.038482,-0.038482,-0.038482,-0.038482,-0.038527,-0.108575,0.09597,-0.032575,3421
40,135,4,0,10,0,0.1066666666666642,0,9.56368637084961,5.040194511413574,10.0,0.19036957621574402,1,0,5,-0.038527,-0.038527,-0.038527,-0.038527,-0.038529,-0.10861,0.095986,-0.032633,3422
41,136,3,7,-1,0,0.09999999999999754,1,0.44592875242233276,1.1410092115402222,0.026908278465270996,0.17557816207408905,1,0,5,-0.038529,-0.038529,-0.038529,-0.038529,-0.038531,-0.108755,0.096002,-0.032685,3423
42,136,7,11,-1,0,0.09999999999999754,1,1.1060974597930908,2.7297263145446777,1.4567537307739258,0.12295982241630554,1,0,5,-0.038531,-0.038531,-0.038531,-0.038531,-0.038533,-0.108791,0.096015,-0.032732,3424
43,136,11,10,-1,0,0.09999999999999754,2,2.723984956741333,3.4377572536468506,2.0939815044403076,0.3969043493270874,1,0,5,-0.038533,-0.038533,-0.038533,-0.038533,-0.038534,-0.108822,0.09595,-0.032775,3425
44,136,10,9,-1,0,0.09999999999999754,2,3.398033380508423,5.824232578277588,4.241809368133545,0.7119579315185547,1,0,5,-0.038534,-0.038534,-0.038534,-0.038534,-0.038536,-0.108851,0.095995,-0.032813,3426
45,136,9,8,-1,0,0.09999999999999754,2,5.829713821411133,7.600753307342529,5.840677738189697,0.00012020747089991346,1,0,5,-0.038536,-0.038536,-0.038536,-0.038536,-0.038537,-0.108877,0.096037,-0.032847,3427
46,136,8,4,-1,0,0.09999999999999754,0,7.601222991943359,9.453815460205078,7.5084333419799805,0.008609918877482414,1,0,5,-0.038537,-0.038537,-0.038537,-0.038537,-0.038546,-0.1089,0.096074,-0.032878,3428
47,136,4,0,10,0,0.09999999999999754,0,9.451733589172363,5.003692626953125,10.0,0.30059605836868286,1,0,5,-0.038546,-0.038546,-0.038546,-0.038546,-0.038506,-0.108921,0.096108,-0.032906,3429
48,137,3,7,-1,0,0.09999999999999754,1,0.13979193568229675,1.6314003467559814,0.4682602882385254,0.10789145529270172,1,0,5,-0.038506,-0.038506,-0.038506,-0.038506,-0.03847,-0.10885,0.096139,-0.032931,3430
49,137,7,11,-1,0,0.09999999999999754,1,1.652543544769287,2.6174232959747314,1.3556809425354004,0.08812740445137024,1,0,5,-0.03847,-0.03847,-0.03847,-0.03847,-0.038438,-0.108867,0.096167,-0.032954,3431
50,137,11,10,-1,0,0.09999999999999754,2,2.622521162033081,3.749521493911743,2.3745691776275635,0.06148018687963486,1,0,5,-0.038438,-0.038438,-0.038438,-0.038438,-0.038409,-0.108883,0.096161,-0.032974,3432
51,137,10,9,-1,0,0.09999999999999754,2,3.753000497817993,5.942682266235352,4.348413944244385,0.3545171618461609,1,0,5,-0.038409,-0.038409,-0.038409,-0.038409,-0.038383,-0.108897,0.096229,-0.032992,3433
52,137,9,8,-1,0,0.09999999999999754,2,5.9601311683654785,7.1707353591918945,5.4536614418029785,0.2565115690231323,1,0,5,-0.038383,-0.038383,-0.038383,-0.038383,-0.038359,-0.108909,0.096228,-0.033009,3434
53,137,8,4,-1,0,0.09999999999999754,0,7.1807122230529785,9.475114822387695,7.5276031494140625,0.12033331394195557,1,0,5,-0.038359,-0.038359,-0.038359,-0.038359,-0.038307,-0.108921,0.096227,-0.033024,3435
54,137,4,0,10,0,0.09999999999999754,0,9.499871253967285,5.042834758758545,10.0,0.25012877583503723,1,0,5,-0.038307,-0.038307,-0.038307,-0.038307,-0.038216,-0.108931,0.096226,-0.033037,3436
